fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,idema,nombre_estacion
2024-01-01,3195,"MADRID, RETIRO",MADRID,667,"6,6","0,0","3,8",08:50,"9,4",15:40,23,"1,4","6,4",15:50,"945,1",23,"940,8",03,85,99,Varias,62,15:30,3195,Madrid Retiro
2024-01-02,3195,"MADRID, RETIRO",MADRID,667,"5,5","2,0","2,8",05:50,"8,2",23:40,14,"0,3","4,4",02:10,"945,2",11,"941,7",24,92,99,Varias,83,13:20,3195,Madrid Retiro
2024-01-03,3195,"MADRID, RETIRO",MADRID,667,"10,1","2,7","8,1",00:00,"12,1",14:50,26,"1,7","7,2",16:00,"942,7",10,"940,1",18,99,99,Varias,91,22:00,3195,Madrid Retiro
2024-01-04,3195,"MADRID, RETIRO",MADRID,667,"9,4","9,7","8,2",00:40,"10,6",11:50,29,"1,1","4,7",19:50,"941,9",00,"931,8",24,99,99,Varias,96,11:50,3195,Madrid Retiro
2024-01-05,3195,"MADRID, RETIRO",MADRID,667,"6,6","0,1","4,6",06:20,"8,6",00:00,29,"3,6","12,2",22:00,"936,3",24,"929,8",05,71,99,Varias,53,15:40,3195,Madrid Retiro
2024-01-06,3195,"MADRID, RETIRO",MADRID,667,"6,6","0,0","3,6",08:40,"9,6",15:20,30,"2,8","10,8",00:10,"943,2",23,"936,3",00,61,78,22:20,41,15:40,3195,Madrid Retiro
2024-01-07,3195,"MADRID, RETIRO",MADRID,667,"5,6","0,0","1,8",23:50,"9,3",15:10,99,"1,9","6,1",Varias,"945,0",10,"942,5",Varias,60,87,08:20,40,14:30,3195,Madrid Retiro
2024-01-08,3195,"MADRID, RETIRO",MADRID,667,"2,7","0,0","-0,8",08:10,"6,2",15:10,23,"1,1","3,9",21:30,"943,7",00,"940,7",15,69,93,08:00,51,13:50,3195,Madrid Retiro
2024-01-09,3195,"MADRID, RETIRO",MADRID,667,"5,6","0,0","4,1",07:10,"7,2",15:00,10,"1,1","3,9",20:10,"941,9",10,"939,7",16,79,89,Varias,71,00:10,3195,Madrid Retiro
2024-01-10,3195,"MADRID, RETIRO",MADRID,667,"6,4","0,2","4,7",07:30,"8,0",14:40,26,"1,9","6,9",14:50,"941,9",11,"939,3",19,90,98,Varias,81,14:30,3195,Madrid Retiro
2024-01-11,3195,"MADRID, RETIRO",MADRID,667,"5,0","0,0","2,3",23:50,"7,6",14:20,08,"2,2","7,8",17:30,"945,7",23,"939,9",01,71,99,01:20,53,14:30,3195,Madrid Retiro
2024-01-12,3195,"MADRID, RETIRO",MADRID,667,"3,2","0,0","-0,4",07:30,"6,9",15:20,05,"1,7","6,7",00:50,"948,1",11,"945,0",01,64,79,Varias,49,16:20,3195,Madrid Retiro
2024-01-13,3195,"MADRID, RETIRO",MADRID,667,"5,6","0,0","2,2",01:20,"9,0",15:40,04,"0,3","5,3",02:30,"948,5",10,"944,2",24,73,83,20:40,65,13:10,3195,Madrid Retiro
2024-01-14,3195,"MADRID, RETIRO",MADRID,667,"7,2","4,3","5,8",06:50,"8,6",23:50,03,"1,1","6,4",11:50,"944,4",00,"939,4",24,92,99,Varias,79,00:10,3195,Madrid Retiro
2024-01-15,3195,"MADRID, RETIRO",MADRID,667,"10,8","2,6","8,4",00:00,"13,3",15:00,25,"2,5","10,3",13:20,"939,4",00,"935,9",15,99,99,Varias,93,15:30,3195,Madrid Retiro
2024-01-16,3195,"MADRID, RETIRO",MADRID,667,"12,4","7,5","11,1",22:10,"13,7",Varias,25,"2,8","11,7",04:20,"937,4",00,"931,0",24,85,99,Varias,68,19:10,3195,Madrid Retiro
2024-01-17,3195,"MADRID, RETIRO",MADRID,667,"11,2","1,1","10,0",07:30,"12,3",16:20,26,"3,3","15,0",21:50,"931,0",00,"925,1",08,92,99,Varias,80,Varias,3195,Madrid Retiro
2024-01-18,3195,"MADRID, RETIRO",MADRID,667,"12,2","12,4","10,0",05:40,"14,3",14:00,99,"3,9","14,2",Varias,"933,7",18,"930,6",00,85,99,23:30,69,14:50,3195,Madrid Retiro
2024-01-19,3195,"MADRID, RETIRO",MADRID,667,"7,2","16,3","3,6",22:20,"10,8",00:40,05,"5,8","14,2",23:00,"936,9",24,"927,3",14,94,99,Varias,76,23:40,3195,Madrid Retiro
2024-01-20,3195,"MADRID, RETIRO",MADRID,667,"6,3","0,0","2,7",06:40,"9,9",14:50,05,"1,7","12,8",00:20,"952,1",24,"936,9",00,74,93,20:50,50,11:30,3195,Madrid Retiro
2024-01-21,3195,"MADRID, RETIRO",MADRID,667,"7,5","0,0","4,0",08:20,"11,0",16:10,05,"1,4","4,2",03:40,"956,4",23,"951,6",02,77,97,23:59,61,14:30,3195,Madrid Retiro
2024-01-22,3195,"MADRID, RETIRO",MADRID,667,"6,8","0,0","3,1",06:30,"10,6",15:40,10,"0,8","3,3",20:10,"958,6",Varias,"955,8",00,87,99,Varias,71,15:20,3195,Madrid Retiro
2024-01-23,3195,"MADRID, RETIRO",MADRID,667,"9,6","0,0","4,4",07:00,"14,9",15:30,08,"0,8","3,6",03:40,"960,3",11,"957,8",04,85,99,Varias,67,15:30,3195,Madrid Retiro
2024-01-24,3195,"MADRID, RETIRO",MADRID,667,"11,7","0,0","5,9",07:40,"17,5",15:00,05,"0,3","5,0",23:20,"960,4",11,"957,6",17,78,98,01:30,60,14:10,3195,Madrid Retiro
2024-01-25,3195,"MADRID, RETIRO",MADRID,667,"11,6","0,0","5,9",07:30,"17,3",15:00,05,"0,3","4,2",01:40,"957,8",00,"953,9",18,71,86,00:50,54,15:50,3195,Madrid Retiro
2024-01-26,3195,"MADRID, RETIRO",MADRID,667,"12,4","0,0","5,9",07:40,"18,8",15:10,06,"1,1","4,2",23:50,"955,2",Varias,"952,2",17,62,91,03:30,35,13:50,3195,Madrid Retiro
